fixed acidity,volatile acidity,var1,var2,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,var3
7.0,0.46,-0.47861824157260313,-0.5092813320161502,0.046,50.0,184.0,0.99898,3.08,0.56,-0.49452404116193427
5.6,0.27,-0.2792813541493089,0.09640247291937376,0.025,11.0,49.0,0.98845,3.29,0.33,-0.1308660141901884
6.3,0.695,-0.33742479199998054,-0.4044248338757137,0.055999999999999994,58.0,252.0,0.9980600000000001,3.29,0.49,-0.45504319638534496
9.4,0.42,-0.4580275526578601,-0.32908873626251456,0.027000000000000003,20.0,167.0,0.99479,3.08,0.43,-0.4306794943551122
7.3,0.4,-0.5871667041722967,-0.520762914097123,0.057999999999999996,41.0,166.0,0.995,3.2,0.41,-0.5802592260789867
7.6,0.19,-0.34173144657718046,-0.24264256881071367,0.06,48.0,174.0,0.9962,3.13,0.38,-0.33315495224790126
7.0,0.2,-0.45767760342129626,-0.40581448200542347,0.05,42.0,173.0,0.99585,3.3,0.54,-0.4836910951305443
6.2,0.22,-0.7301770627939976,-0.6962544274898077,0.064,20.0,132.0,0.9938,3.22,0.46,-0.7623278325095976
6.5,0.17,-0.5707169026344674,-0.42386567729349744,0.040999999999999995,34.0,121.0,0.99092,3.06,0.46,-0.5440690790489021
7.9,0.46,-0.28820152059785575,0.04388789931079873,0.033,40.0,138.0,0.9912,3.18,0.44,-0.14704988231499339
6.2,0.21,-0.2540404874831971,0.03897989818987968,0.03,36.0,91.0,0.9914,3.32,0.45,-0.13335863505308287
7.3,0.49,-0.47289952114560074,-0.32837251276740287,0.043,18.0,104.0,0.9952,3.24,0.45,-0.43978734176263123
6.1,0.32,-0.5167173202696105,-0.3707891373657499,0.051,13.0,200.0,0.9945,3.49,0.44,-0.5018358056283648
7.1,0.2,-0.43675250537372967,-0.4297456345889752,0.042,45.0,124.0,0.997,2.92,0.59,-0.47598732126833143
